index,市区町村コード,住所,種類,面積（㎡）,築年数,最寄駅：距離（分）,取引価格（総額）,divergence,ratio,signed_pct,direction,band,quantile_median,empirical_median,has_overlap,n_used,flag
38803,13224,東京都多摩市馬引沢,中古マンション等,60,30.0,11.0,20000000,0.3931975729864073,0.6068024270135928,-39.31975729864073,安値,中度,18810875.237421375,31000000.0,True,30,要人手査定
15722,13110,東京都目黒区中央町,中古マンション等,25,60.0,10.0,17000000,0.3931913209110297,0.6068086790889703,-39.31913209110297,安値,中度,16383834.335402198,27000000.0,True,30,要人手査定
39314,13225,東京都稲城市平尾,中古マンション等,50,55.0,20.0,9800000,0.3930073376565858,0.6069926623434142,-39.30073376565858,安値,中度,7587408.2792926775,12500000.0,True,30,要人手査定
32054,13122,東京都葛飾区堀切,中古マンション等,65,14.0,12.0,39000000,0.39298796129101665,0.6070120387089833,-39.29879612910167,安値,中度,38848770.47737493,64000000.0,True,30,要人手査定
9439,13107,東京都墨田区八広,中古マンション等,75,26.0,10.0,39000000,0.39297887257008673,0.6070211274299133,-39.297887257008675,安値,中度,41277436.665234104,68000000.0,True,30,要人手査定
28413,13119,東京都板橋区中台,中古マンション等,55,47.0,12.0,34000000,0.3929709793673325,1.3929709793673324,39.29709793673325,高値,中度,34127788.994499646,24500000.0,True,30,要人手査定
26509,13118,東京都荒川区東日暮里,中古マンション等,55,5.0,4.0,95000000,0.39281904947742213,1.3928190494774222,39.28190494774221,高値,中度,89140419.16655502,64000000.0,True,30,要人手査定
6280,13104,東京都新宿区西五軒町,中古マンション等,20,2.0,6.0,47000000,0.39274426529340356,0.6072557347065964,-39.27442652934035,安値,中度,44329668.63358154,73000000.0,True,30,要人手査定
22282,13114,東京都中野区弥生町,中古マンション等,30,54.0,4.0,13000000,0.3927033686445847,0.6072966313554152,-39.27033686445847,安値,中度,13360525.889819136,22000000.0,True,30,要人手査定
13440,13109,東京都品川区西五反田,中古マンション等,70,12.0,8.0,130000000,0.39264956113572497,1.392649561135725,39.264956113572495,高値,中度,130909058.74675815,94000000.0,True,30,要人手査定
34714,13203,東京都武蔵野市境,中古マンション等,50,55.0,5.0,20000000,0.39260674632779613,0.6073932536722039,-39.26067463277961,安値,中度,20043977.37118273,33000000.0,True,30,要人手査定
34892,13203,東京都武蔵野市吉祥寺北町,中古マンション等,20,46.0,13.0,6500000,0.3925996047767449,0.6074003952232552,-39.25996047767449,安値,中度,10629506.916406965,17500000.0,True,30,要人手査定
2847,13103,東京都港区六本木,中古マンション等,65,14.0,3.0,400000000,0.39258948503734314,1.3925894850373433,39.25894850373432,高値,中度,299406739.2830288,215000000.0,True,30,要人手査定
